Month,Date,Section,Category,Payee,Planned Amount,Actual Amount,Account,Status,Need or Want,Notes
2026-03,2026-03-07,Income,Paycheck,Employer,4200,4200,Checking,Paid,Need,Incoming
2026-03,2026-03-13,Income,Other,Other Income,1000,1000,Checking,Paid,Need,Incoming
2026-03,2026-03-22,Income,Paycheck,Employer,4200,4200,Checking,Paid,Need,Incoming
2026-03,2026-03-01,Fixed,Phone,Google Fi,97.74,,Card,Planned,Need,
2026-03,2026-03-01,Fixed,Utilities,Titus Trash,26,,Checking,Planned,Need,
2026-03,2026-03-01,Fixed,Subscription,Google Premium,22.99,,Card,Planned,Need,
2026-03,2026-03-01,Fixed,Subscription,Zoho Mail Lite,1,,Card,Planned,Need,
2026-03,2026-03-01,Fixed,Subscription,Hostek,12.86,,Card,Planned,Need,
2026-03,2026-03-01,Fixed,Subscription,Patreon Poster API,5,,Card,Planned,Need,
2026-03,2026-03-01,Fixed,Subscription,oMDB API Key,5,,Card,Planned,Need,
2026-03,2026-03-05,Fixed,Subscription,Microsoft XBOX GamePass,18,,Card,Planned,Want,
2026-03,2026-03-06,Fixed,Subscription,Sony PSNow,10,,Card,Planned,Want,
2026-03,2026-03-07,Fixed,Subscription,Bernie,6,,Card,Planned,Need,
2026-03,2026-03-10,Fixed,Subscription,Google Preferred Care Pixel 8,8,,Card,Planned,Need,
2026-03,2026-03-10,Fixed,Subscription,Google Preferred Pixel Watch 3,4,,Card,Planned,Need,
2026-03,2026-03-15,Fixed,Subscription,Google FitBit,9.15,,Card,Planned,Need,
2026-03,2026-03-15,Debt,Installment,Google Synchrony Financing,76.63,,Card,Planned,Need,
2026-03,2026-03-18,Fixed,Subscription,Google Nest,8,,Card,Planned,Need,
2026-03,2026-03-19,Fixed,Subscription,Netflix,21.19,,Card,Planned,Want,
2026-03,2026-03-19,Fixed,Donation,Wikipedia,3.1,,Chase,Planned,Want,
2026-03,2026-03-20,Fixed,Donation,NPR,10,,Card,Planned,Want,
2026-03,2026-03-20,Fixed,Subscription,Google Preferred Care Pixel 9 Pro,12,,Card,Planned,Need,
2026-03,2026-03-23,Fixed,Subscription,Apple iCloud,1,,Card,Planned,Need,
2026-03,2026-03-24,Fixed,Subscription,Google One,24.99,,Card,Planned,Need,
2026-03,2026-03-24,Fixed,Storage,Storage,144,,Checking,Planned,Need,
2026-03,2026-03-19,Fixed,Phone,Verizon,119.21,,Card,Planned,Need,
2026-03,2026-03-31,Fixed,Lawn,TruGreen,50,,Checking,Planned,Need,
2026-03,2026-03-30,Fixed,Subscription,Google TV,80,,Card,Planned,Want,
2026-03,2026-03-31,Debt,Installment,Maryland Comptroller,389.9,,Checking,Planned,Need,Ends 11/2028
2026-03,2026-03-15,Debt,Installment,Mattress from Costco with Affirm,89.84,89.84,Checking,Paid,Need,
2026-03,2026-03-10,Debt,Installment,Synchrony - Ashley,,,,Planned,Need,Amount blank in source note
2026-03,2026-03-15,Debt,Installment,Apple Financing,107.41,107.41,Card,Paid,Need,
2026-03,2026-03-07,Debt,Credit Card,Macys,71,71,Card,Paid,Need,
2026-03,2026-03-31,Auto,Registration,Renew Tesla Tags,316.5,316.5,Checking,Paid,Need,
2026-03,2026-03-31,Manual,Utilities,Washington Gas,,,Checking,Planned,Need,
2026-03,2026-03-31,Manual,Auto,TD Auto/Tesla,876.3,876.3,Checking,Paid,Need,
2026-03,2026-03-31,Manual,Utilities,Pepco - Broad Green,350,350,Checking,Paid,Need,
2026-03,2026-03-31,Manual,Housing,Mortgage,3394.65,3394.65,Checking,Paid,Need,
2026-03,2026-03-31,Manual,Utilities,WSSC Water,,,Checking,Planned,Need,
2026-03,2026-03-31,Manual,Utilities,Titus Trash,,,Checking,Planned,Need,
2026-03,2026-03-31,Manual,Lawn,Lawn care,,,Checking,Planned,Need,
2026-03,2026-03-31,Variable,Personal,Cigs,,,Card,Planned,Want,
2026-03,2026-03-31,Variable,Personal,Chars,,,Card,Planned,Want,
2026-03,2026-03-31,Debt,Credit Card,Discover,,,Checking,Planned,Need,
2026-03,2026-03-31,Debt,Credit Card,Best Buy,,,Checking,Planned,Need,
2026-03,2026-03-31,Debt,Credit Card,Barclay Card,,,Checking,Planned,Need,
2026-03,2026-03-21,Debt,Credit Card,Home Depot Credit Card,,,Checking,Planned,Need,
2026-03,2026-03-31,Debt,Credit Card,Costco Visa,,,Checking,Planned,Need,
2026-03,2026-03-31,Debt,Credit Card,Chase,,,Checking,Planned,Need,
